total_volume,short_volume,reg_sho_date,ticker,short_exempt_volume,short_volume_ratio,reg_sho_asof
5928.085839,2287.7427,2026-09-18,AAPB,0.0,0.3859159199330885,2026-09-18
17786.0,11010.0,2026-09-18,AAPD,0.0,0.6190262003823231,2026-09-18
2511705.402466,1342280.0,2026-09-18,AAPD,1505.0,0.5344098072497457,2026-09-18
39225.0,18479.0,2026-09-18,AAPD,0.0,0.4711026131293818,2026-09-18
415.6887,145.0,2026-09-18,AAPE,0.0,0.3488187193926609,2026-09-18
1014.806975,205.323529,2026-09-18,AAPG,5.0,0.20232766827405774,2026-09-18
163870.642323,67769.281396,2026-09-18,AAPL,203.0,0.413553522676882,2026-09-18
11690069.567998,6551696.312863,2026-09-18,AAPL,53135.0,0.5604497282718071,2026-09-18
895043.952397,336400.31699,2026-09-18,AAPL,0.0,0.3758478185223114,2026-09-18
1189.776,1015.0,2026-09-18,AAPR,0.0,0.8531017603313564,2026-09-18
5176.0416,1035.0,2026-09-18,AAPU,0.0,0.19995975302826008,2026-09-18
363501.77273,140999.295052,2026-09-18,AAPU,4253.0,0.38789162977956293,2026-09-18
17268.83262,7730.82844,2026-09-18,AAPU,0.0,0.447675219866715,2026-09-18
6295.663995,3932.000624,2026-09-18,AAPW,0.0,0.6245569374608912,2026-09-18
12883.920428,6541.0,2026-09-18,AAPX,0.0,0.507687084575962,2026-09-18
330.328164,197.0,2026-09-18,AAPY,0.0,0.5963766383540944,2026-09-18
36360.333869,19043.048992,2026-09-18,AARD,0.0,0.5237314118349081,2026-09-18
6052.0,4934.0,2026-09-18,AARD,0.0,0.8152676801057501,2026-09-18
1391.0,1268.0,2026-09-18,AARTY,0.0,0.9115744069015097,2026-09-18
80.01,60.0,2026-09-18,AAT,0.0,0.7499062617172852,2026-09-18
96576.556322,66933.653261,2026-09-18,AAT,0.0,0.6930631595294583,2026-09-18
4025.30541,3657.30268,2026-09-18,AAT,0.0,0.9085776872766531,2026-09-18
2036.0,1.0,2026-09-18,AATC,0.0,0.0004911591355599214,2026-09-18
206.593,201.0,2026-09-18,AAUA,0.0,0.9729274467189112,2026-09-18
6456.0,3500.0,2026-09-18,AAUAF,0.0,0.5421313506815365,2026-09-18
7.4473,3.0,2026-09-18,AAUB,0.0,0.40283055604044415,2026-09-18
6424.056,5734.0,2026-09-18,AAUC,0.0,0.892582505507424,2026-09-18
200184.381769,106297.044893,2026-09-18,AAUC,0.0,0.5309956948372726,2026-09-18
19722.0,13787.0,2026-09-18,AAUC,0.0,0.6990670317412028,2026-09-18
10.0,9.0,2026-09-18,AAUKF,0.0,0.9,2026-09-18
6.73908,3.0,2026-09-18,AAUS,0.0,0.44516462187717015,2026-09-18
3.0,3.0,2026-09-18,AAUS,0.0,1.0,2026-09-18
559.7643,28.0,2026-09-18,AAVM,0.0,0.050021053504126646,2026-09-18
21363.0,15780.0,2026-09-18,AAVMY,0.0,0.73866030051959,2026-09-18
2808.0,1850.0,2026-09-18,AAVVF,0.0,0.6588319088319088,2026-09-18
27345.0,19832.0,2026-09-18,AAWH,0.0,0.7252514170780764,2026-09-18
129.8527,109.0,2026-09-18,AAXJ,0.0,0.8394126575727728,2026-09-18
